open,close,high,low,date
388.62,389.46,394.14,387.11,2022-05-19
393.25,389.63,397.03,380.54,2022-05-20
392.83,396.92,397.73,390.38,2022-05-23
392.56,393.89,395.15,386.96,2022-05-24
392.31,397.37,399.45,391.89,2022-05-25
398.67,405.31,407.04,398.45,2022-05-26
407.91,415.26,415.3801,407.7,2022-05-27
413.55,412.93,416.46,410.03,2022-05-31
415.17,409.59,416.24,406.93,2022-06-01
409.42,417.39,417.44,407.04,2022-06-02
412.4,410.54,414.04,409.51,2022-06-03
414.78,411.79,416.609,410.5523,2022-06-06
408.1,415.74,416.22,407.61,2022-06-07
413.93,411.22,415.82,410.38,2022-06-08
409.34,401.44,411.74,401.44,2022-06-09
394.88,389.8,395.7777,389.75,2022-06-10
379.85,375.0,381.81,373.3,2022-06-13
376.85,373.87,377.94,370.59,2022-06-14
377.36,379.2,383.9,372.12,2022-06-15
370.51,366.65,370.94,364.0799,2022-06-16
365.51,365.86,369.38,362.17,2022-06-17
371.89,375.07,376.525,371.81,2022-06-21
370.62,374.39,378.72,370.18,2022-06-22
376.64,378.06,378.83,372.89,2022-06-23
381.4,390.08,390.09,381.365,2022-06-24
391.05,388.59,391.36,387.44,2022-06-27
390.23,380.65,393.16,380.53,2022-06-28
381.23,380.34,382.27,378.42,2022-06-29
376.24,377.25,380.6582,372.56,2022-06-30
376.56,381.24,381.7,373.8,2022-07-01
375.88,381.96,381.98,372.9,2022-07-05
382.11,383.25,385.87,379.6,2022-07-06
385.12,388.99,389.83,383.267,2022-07-07
387.27,388.67,390.64,385.66,2022-07-08
385.85,384.23,386.87,383.5,2022-07-11
383.65,380.83,386.16,378.99,2022-07-12
375.1,378.83,381.92,374.658,2022-07-13
373.61,377.91,379.0498,371.04,2022-07-14
382.55,385.13,385.25,380.54,2022-07-15
388.38,381.95,389.09,380.66,2022-07-18
386.08,392.27,392.87,385.39,2022-07-19
392.47,394.77,396.26,391.03,2022-07-20
394.16,398.79,398.84,391.63,2022-07-21
398.92,395.09,400.18,392.75,2022-07-22
395.75,395.57,396.47,393.21,2022-07-25
393.84,390.89,394.06,389.95,2022-07-26
394.36,401.04,402.88,394.05,2022-07-27
401.89,406.07,406.8,398.15,2022-07-28
407.58,411.99,413.03,406.77,2022-07-29
409.15,410.77,413.41,408.4,2022-08-01
409.12,408.06,413.0,406.82,2022-08-02
410.3,414.45,415.68,410.0,2022-08-03
414.37,414.17,415.09,412.44,2022-08-04
409.66,413.47,414.15,409.6,2022-08-05
415.25,412.99,417.62,411.83,2022-08-08
412.22,411.35,412.75,410.22,2022-08-09
418.78,419.99,420.14,416.72,2022-08-10
422.99,419.99,424.95,419.21,2022-08-11
422.03,427.1,427.21,421.03,2022-08-12
424.765,428.86,429.41,424.71,2022-08-15
427.73,429.7,431.73,426.88,2022-08-16
425.91,426.65,429.5,424.54,2022-08-17
426.86,427.89,428.61,425.5,2022-08-18
424.98,422.14,425.26,421.22,2022-08-19
417.05,413.35,417.23,412.4,2022-08-22
412.9,412.35,415.42,411.77,2022-08-23
412.11,413.67,415.1101,411.39,2022-08-24
415.24,419.51,419.56,414.09,2022-08-25
419.39,405.31,419.96,405.25,2022-08-26
402.2,402.63,405.84,401.1999,2022-08-29
403.85,398.21,404.1,396.0,2022-08-30
399.93,395.18,401.24,395.04,2022-08-31
392.89,396.42,396.78,390.04,2022-09-01
400.28,392.24,401.555,390.33,2022-09-02
393.13,390.76,394.12,388.42,2022-09-06
390.43,397.78,398.59,390.2,2022-09-07
395.39,400.38,400.86,394.12,2022-09-08
402.74,406.6,407.51,402.46,2022-09-09
408.78,410.97,411.73,408.46,2022-09-12
401.83,393.1,403.1,391.92,2022-09-13
394.47,394.6,396.2,391.12,2022-09-14
392.96,390.12,395.96,388.78,2022-09-15
384.14,385.56,386.25,382.11,2022-09-16
382.26,388.55,388.55,382.1784,2022-09-19
385.06,384.09,386.12,381.195,2022-09-20
386.11,377.39,389.31,377.38,2022-09-21
376.58,374.22,378.3,373.44,2022-09-22
370.58,367.95,370.62,363.29,2022-09-23
